Can_Ens	Hum_Symb
ENSCAFG00000016458	MS4A15
ENSCAFG00000009279	TSG101
ENSCAFG00000030554	CD1D
ENSCAFG00000004602	LACC1
ENSCAFG00000015738	EVC2
ENSCAFG00000004290	SAP130
ENSCAFG00000008491	DLGAP4
ENSCAFG00000018961	PRKAA2
ENSCAFG00000013005	EPHB3
ENSCAFG00000011403	ASPM
ENSCAFG00000018951	CDH6
ENSCAFG00000003082	AKIRIN2
ENSCAFG00000019601	SOX8
ENSCAFG00000012193	RNF39
ENSCAFG00000002889	CSN3
ENSCAFG00000010859	PRKAB2
ENSCAFG00000019950	HMCN2
ENSCAFG00000008510	CHMP4C
ENSCAFG00000019973	HSBP1
ENSCAFG00000015034	NOP2
ENSCAFG00000003215	SLC31A1
ENSCAFG00000003912	BCAP29
ENSCAFG00000010288	MYBPH
ENSCAFG00000012404	CCDC84
ENSCAFG00000001774	CUL7
ENSCAFG00000019974	CDH13
ENSCAFG00000012551	UBXN11
ENSCAFG00000010328	NYAP2
ENSCAFG00000018940	GPR112
ENSCAFG00000017713	ARIH1
ENSCAFG00000006325	MAK16
ENSCAFG00000005980	HEATR5B
ENSCAFG00000004096	TTC26
ENSCAFG00000010550	ZBTB8OS
ENSCAFG00000018775	LONP1
ENSCAFG00000007952	APPL1
ENSCAFG00000000647	SERAC1
ENSCAFG00000005528	TIMP2
ENSCAFG00000016143	SLC25A18
ENSCAFG00000029732	BRMS1L
ENSCAFG00000017094	ZNF609
ENSCAFG00000011047	IL3RA
ENSCAFG00000013081	JMJD1C
ENSCAFG00000006922	SETD9
ENSCAFG00000023445	MED31
ENSCAFG00000019262	TRAP1
ENSCAFG00000031007	SNX16
ENSCAFG00000003023	CHN2
ENSCAFG00000013209	HEBP1
ENSCAFG00000018316	EVI5L
ENSCAFG00000018126	ULK2
ENSCAFG00000008395	SCARA3
ENSCAFG00000015465	KCNMA1
ENSCAFG00000011476	PITPNC1
ENSCAFG00000019603	LMF1
ENSCAFG00000010086	MRPL23
ENSCAFG00000029761	PRPF38B
ENSCAFG00000005610	KIF5C
ENSCAFG00000009872	CNTN1
ENSCAFG00000028957	GLT1D1
ENSCAFG00000007478	CHMP4B
ENSCAFG00000013691	PRG4
ENSCAFG00000016286	DNAJB1
ENSCAFG00000004972	OXSR1
ENSCAFG00000006542	PPP2R2B
ENSCAFG00000019935	FAM102B
ENSCAFG00000004049	HDAC2
ENSCAFG00000017996	ACACA
ENSCAFG00000009592	NELL2
ENSCAFG00000012858	ZSCAN2
ENSCAFG00000003521	TRAPPC3
ENSCAFG00000024748	CD55
ENSCAFG00000016386	EIF2S1
ENSCAFG00000000220	KCNN2
ENSCAFG00000024504	MPHOSPH6
ENSCAFG00000001660	LRRC14
ENSCAFG00000008509	CCDC113
ENSCAFG00000000011	NFATC1
ENSCAFG00000007206	KIF3B
ENSCAFG00000001403	PODXL
ENSCAFG00000007902	SLC11A2
ENSCAFG00000010387	FAP
ENSCAFG00000005338	BLVRB
ENSCAFG00000011370	CDK2AP2
ENSCAFG00000004644	ENOX1
ENSCAFG00000014871	DDHD1
ENSCAFG00000015269	ACTR10
ENSCAFG00000002210	EFHC1
ENSCAFG00000017786	FHOD3
ENSCAFG00000014482	SAV1
ENSCAFG00000009075	C15orf52
ENSCAFG00000002745	ZNF331
ENSCAFG00000012719	POGZ
ENSCAFG00000008871	ANTXR2
ENSCAFG00000018792	NEK8
ENSCAFG00000007667	USP39
ENSCAFG00000005605	RELT
ENSCAFG00000001202	GRM4
ENSCAFG00000010883	FMO5
ENSCAFG00000018381	ESM1
ENSCAFG00000006323	LAMP1
ENSCAFG00000015067	KIFAP3
ENSCAFG00000006978	LYPLA1
ENSCAFG00000004052	MCM2
ENSCAFG00000013432	XXYLT1
ENSCAFG00000029988	C11orf91
ENSCAFG00000009641	PI3
ENSCAFG00000015343	DCAF6
ENSCAFG00000018800	TRAF4
ENSCAFG00000015616	SIN3B
ENSCAFG00000012770	FTSJ3
ENSCAFG00000018666	EGFLAM
ENSCAFG00000005350	PRX
ENSCAFG00000004688	PREB
ENSCAFG00000016085	BRD4
ENSCAFG00000014645	SLC11A1
ENSCAFG00000008321	SEMA4F
ENSCAFG00000003120	MACF1
ENSCAFG00000030205	KCTD1
ENSCAFG00000009509	F13A1
ENSCAFG00000008926	PRADC1
ENSCAFG00000005362	PLD3
ENSCAFG00000005492	CMC1
ENSCAFG00000008513	PRPF40B
ENSCAFG00000014850	COPS2
ENSCAFG00000009430	IRX6
ENSCAFG00000003935	BEND5
ENSCAFG00000015365	FGF23
ENSCAFG00000010927	BPNT1
ENSCAFG00000010286	OTUD7A
ENSCAFG00000017045	STX10
ENSCAFG00000018760	PDXDC1
ENSCAFG00000009750	NIPA1
ENSCAFG00000008404	CLU
ENSCAFG00000003662	TBC1D9
ENSCAFG00000031020	CDC26
ENSCAFG00000019940	SLC25A24
ENSCAFG00000023150	DMRT3
ENSCAFG00000007912	TRPC4AP
ENSCAFG00000002895	AMTN
ENSCAFG00000030493	ARFRP1
ENSCAFG00000001988	DMRT2
ENSCAFG00000016826	CCT3
ENSCAFG00000015133	SMURF1
ENSCAFG00000023592	SLC8A1
ENSCAFG00000014045	LRRC20
ENSCAFG00000019248	MIB2
ENSCAFG00000003518	TLR4
ENSCAFG00000000303	AIG1
ENSCAFG00000012877	WDR73
ENSCAFG00000012364	FLVCR1
ENSCAFG00000000022	ZNF407
ENSCAFG00000023602	ECSCR
ENSCAFG00000000334	ADAMTS2
ENSCAFG00000005929	BTD
ENSCAFG00000010438	IFIH1
ENSCAFG00000019953	NCS1
ENSCAFG00000031460	ICAM1
ENSCAFG00000011503	GAR1
ENSCAFG00000010829	IGFN1
ENSCAFG00000016342	PCDH7
ENSCAFG00000003102	AQP1
ENSCAFG00000019954	GPR107
ENSCAFG00000001048	DDX46
ENSCAFG00000015422	KIAA0753
ENSCAFG00000004218	C10orf67
ENSCAFG00000017214	ABCB7
ENSCAFG00000008812	TTI1
ENSCAFG00000005116	RNF32
ENSCAFG00000000789	WNT7B
ENSCAFG00000029387	C12orf5
ENSCAFG00000015948	ZNF12
ENSCAFG00000023779	ZBTB8A
ENSCAFG00000019977	HSD17B2
ENSCAFG00000009323	UEVLD
ENSCAFG00000017351	SOX30
ENSCAFG00000001287	TCP11
ENSCAFG00000019963	FNBP1
ENSCAFG00000016346	CNIH4
ENSCAFG00000031613	ITPA
ENSCAFG00000003322	IFRD1
ENSCAFG00000002013	SMARCA2
ENSCAFG00000031142	FAM222B
ENSCAFG00000008498	MEIS2
ENSCAFG00000001338	MAPK15
ENSCAFG00000010937	CHKA
ENSCAFG00000001436	SOX10
ENSCAFG00000000925	DCBLD1
ENSCAFG00000002477	CORO2A
ENSCAFG00000028754	PPAP2B
ENSCAFG00000001669	ARHGAP39
ENSCAFG00000028891	SDR42E1
ENSCAFG00000019726	GPR157
ENSCAFG00000003919	DUS4L
ENSCAFG00000003194	HERPUD2
ENSCAFG00000018813	ERAL1
ENSCAFG00000011506	RRH
ENSCAFG00000010637	ANKRD13A
ENSCAFG00000006553	TMF1
ENSCAFG00000007309	PAX8
ENSCAFG00000006188	GPR124
ENSCAFG00000013467	POR
ENSCAFG00000006929	MIER3
ENSCAFG00000010470	GCA
ENSCAFG00000005216	ULK4
ENSCAFG00000001051	CSDC2
ENSCAFG00000016969	CLK2
ENSCAFG00000009443	IRX5
ENSCAFG00000014811	JADE3
ENSCAFG00000015594	NXF1
ENSCAFG00000008245	FAR1
ENSCAFG00000002300	KLHL31
ENSCAFG00000019989	PLCG2
ENSCAFG00000009249	TMEM30C
ENSCAFG00000018793	HSD11B1L
ENSCAFG00000015047	IFFO1
ENSCAFG00000017614	GEMIN5
ENSCAFG00000010567	BSDC1
ENSCAFG00000028589	SEPP1
ENSCAFG00000000162	MEX3C
ENSCAFG00000008874	HUNK
ENSCAFG00000003278	CDCA8
ENSCAFG00000014095	DERL3
ENSCAFG00000013434	FAM43A
ENSCAFG00000009743	NIPA2
ENSCAFG00000009467	HIBCH
ENSCAFG00000014439	PHB2
ENSCAFG00000018041	WDR20
ENSCAFG00000017881	MRPL4
ENSCAFG00000013529	CTDSPL2
ENSCAFG00000003003	RLF
ENSCAFG00000005372	C19orf47
ENSCAFG00000014954	MPV17L2
ENSCAFG00000003929	COG5
ENSCAFG00000023230	MSLN
ENSCAFG00000014244	CTC-260F20.3
ENSCAFG00000016880	ATP5G1
ENSCAFG00000008638	ARHGEF26
ENSCAFG00000014712	MACROD1
ENSCAFG00000003224	PRPF4
ENSCAFG00000018132	TAF4B
ENSCAFG00000014050	EIF4EBP2
ENSCAFG00000011928	HSCB
ENSCAFG00000010397	IRS1
ENSCAFG00000015509	STAT5B
ENSCAFG00000011451	PITPNM1
ENSCAFG00000008823	FAM151B
ENSCAFG00000018726	BCORL1
ENSCAFG00000013869	NMT1
ENSCAFG00000019727	H6PD
ENSCAFG00000005388	AKT2
ENSCAFG00000030192	TCF23
ENSCAFG00000024753	TRIM26
ENSCAFG00000013445	LSG1
ENSCAFG00000012855	RAB1B
ENSCAFG00000016389	PHF8
ENSCAFG00000013972	ZFAND6
ENSCAFG00000007196	KIAA1549L
ENSCAFG00000019393	TMPRSS9
ENSCAFG00000018179	DCX
ENSCAFG00000009869	EHD4
ENSCAFG00000010526	FIGN
ENSCAFG00000006349	TESPA1
ENSCAFG00000004102	ZC3HAV1
ENSCAFG00000017246	ADCK1
ENSCAFG00000019732	SPSB1
ENSCAFG00000014260	UBTF
ENSCAFG00000010563	GRB14
ENSCAFG00000017819	TMEM159
ENSCAFG00000019730	SLC25A33
ENSCAFG00000032454	COL8A2
ENSCAFG00000009525	CHP1
ENSCAFG00000004451	MED4
ENSCAFG00000017097	OAZ2
ENSCAFG00000003084	SPACA1
ENSCAFG00000004990	SLC35F5
ENSCAFG00000010306	TRPM1
ENSCAFG00000013114	RGSL1
ENSCAFG00000010944	CHD1L
ENSCAFG00000013077	PIK3IP1
ENSCAFG00000003793	SESN1
ENSCAFG00000003994	NUDT6
ENSCAFG00000019611	CHTF18
ENSCAFG00000029311	PCP4
ENSCAFG00000011061	KCTD18
ENSCAFG00000000366	SASH1
ENSCAFG00000031738	COLGALT1
ENSCAFG00000008581	SLC7A13
ENSCAFG00000015726	KMO
ENSCAFG00000005571	NDUFAF5
ENSCAFG00000008932	SMYD5
ENSCAFG00000014079	CCDC141
ENSCAFG00000000768	EGFL8
ENSCAFG00000029573	COQ10A
ENSCAFG00000016467	MAD2L1
ENSCAFG00000008893	VEPH1
ENSCAFG00000009094	HPSE
ENSCAFG00000015022	FAM53A
ENSCAFG00000019238	MMP23B
ENSCAFG00000006095	ANKRD10
ENSCAFG00000010709	ADAMTS17
ENSCAFG00000000083	PIGN
ENSCAFG00000015381	CCND2
ENSCAFG00000013518	TRMT1L
ENSCAFG00000005660	TNFAIP6
ENSCAFG00000031960	NKX2-5
ENSCAFG00000028737	GEMIN8
ENSCAFG00000002305	LRRC1
ENSCAFG00000002377	POLR1E
ENSCAFG00000004816	LLGL2
ENSCAFG00000002145	IL1RL2
ENSCAFG00000006149	DIAPH1
ENSCAFG00000000722	ADAMTS19
ENSCAFG00000014058	CCDC50
ENSCAFG00000010386	ST3GAL4
ENSCAFG00000017060	NACC1
ENSCAFG00000004323	RSBN1L
ENSCAFG00000009490	KLHL8
ENSCAFG00000007153	RAB2A
ENSCAFG00000010090	IGF2
ENSCAFG00000019733	TMEM201
ENSCAFG00000014052	NODAL
ENSCAFG00000014716	PSME3
ENSCAFG00000010630	COBLL1
ENSCAFG00000019245	BCAP31
ENSCAFG00000008598	LRRCC1
ENSCAFG00000019975	USP20
ENSCAFG00000032029	ZNF677
ENSCAFG00000030535	C12orf73
ENSCAFG00000017844	DNAH3
ENSCAFG00000013056	ZGPAT
ENSCAFG00000007442	TDG
ENSCAFG00000032579	IRX3
ENSCAFG00000019951	VAV3
ENSCAFG00000013979	BCL2A1
ENSCAFG00000002531	EPN1
ENSCAFG00000016379	IQCE
ENSCAFG00000001053	POLR3H
ENSCAFG00000003464	ATP6V1C2
ENSCAFG00000018043	MOK
ENSCAFG00000000629	DENND6B
ENSCAFG00000004452	NUDT15
ENSCAFG00000010662	SLC38A11
ENSCAFG00000000533	PRRC2A
ENSCAFG00000012228	S100B
ENSCAFG00000013211	HSD17B7
ENSCAFG00000010409	RHBDD1
ENSCAFG00000011401	KIRREL
ENSCAFG00000015291	ASMTL
ENSCAFG00000012237	PRMT2
ENSCAFG00000001614	BYSL
ENSCAFG00000012403	COL7A1
ENSCAFG00000009272	EGR3
ENSCAFG00000012019	EIF4H
ENSCAFG00000012226	COL6A3
ENSCAFG00000007947	SSRP1
ENSCAFG00000009599	ZBTB11
ENSCAFG00000014443	TSC22D4
ENSCAFG00000005499	THUMPD3
ENSCAFG00000009275	BIN3
ENSCAFG00000010864	SCN3A
ENSCAFG00000012567	SH3BGRL3
ENSCAFG00000002553	PPCS
ENSCAFG00000024992	TMOD3
ENSCAFG00000016055	ITPKB
ENSCAFG00000003235	NUP205
ENSCAFG00000002772	PPP2R1A
ENSCAFG00000019406	SPPL2B
ENSCAFG00000009847	PCIF1
ENSCAFG00000004739	FASTK
ENSCAFG00000013137	TLK2
ENSCAFG00000008334	M1AP
ENSCAFG00000018977	USP24
ENSCAFG00000015975	OPN4
ENSCAFG00000013615	FRMD8
ENSCAFG00000019614	RPUSD1
ENSCAFG00000031708	ATXN10
ENSCAFG00000002079	KDR
ENSCAFG00000001892	XPO5
ENSCAFG00000008381	AGA
ENSCAFG00000008834	ZFYVE16
ENSCAFG00000023294	HTATSF1
ENSCAFG00000019116	MAMLD1
ENSCAFG00000012581	CEP85
ENSCAFG00000000771	AGPAT1
ENSCAFG00000010769	MANBA
ENSCAFG00000013180	DDR2
ENSCAFG00000030689	ADPRHL2
ENSCAFG00000013217	GPRC5A
ENSCAFG00000028626	SLPI
ENSCAFG00000015887	APBB2
ENSCAFG00000009720	CYFIP1
ENSCAFG00000009098	KNSTRN
ENSCAFG00000001477	CMTR1
ENSCAFG00000002028	VLDLR
ENSCAFG00000017981	SCAMP5
ENSCAFG00000017498	CORO2B
ENSCAFG00000011038	WIPI1
ENSCAFG00000006479	PKDCC
ENSCAFG00000005949	HACL1
ENSCAFG00000006157	MAVS
ENSCAFG00000005327	TGDS
ENSCAFG00000009616	SETD4
ENSCAFG00000029189	TIMP3
ENSCAFG00000018388	SNX18
ENSCAFG00000002551	U2AF2
ENSCAFG00000005393	MAP3K10
ENSCAFG00000001437	POLR2F
ENSCAFG00000007591	CFAP97
ENSCAFG00000001848	NFX1
ENSCAFG00000002653	EPCAM
ENSCAFG00000014846	SKIL
ENSCAFG00000004354	PHTF2
ENSCAFG00000004454	SUCLA2
ENSCAFG00000011587	NGEF
ENSCAFG00000000024	CNDP1
ENSCAFG00000011453	PSMD12
ENSCAFG00000001232	SLC45A4
ENSCAFG00000014956	IFI30
ENSCAFG00000014804	DGCR14
ENSCAFG00000000115	CS
ENSCAFG00000019980	TOR1A
ENSCAFG00000004612	MUTYH
ENSCAFG00000013075	SH3KBP1
ENSCAFG00000013224	DDX47
ENSCAFG00000029352	TMEM170B
ENSCAFG00000011861	FANCB
ENSCAFG00000011427	ACIN1
ENSCAFG00000032532	FLJ22184
ENSCAFG00000003554	ASCC3
ENSCAFG00000018322	LRRC8E
ENSCAFG00000032613	ZNF850
ENSCAFG00000008883	TLL1
ENSCAFG00000005398	PSMC4
ENSCAFG00000012072	SEC22A
ENSCAFG00000002793	IRAK1BP1
ENSCAFG00000004664	DNAJC15
ENSCAFG00000003526	BRINP1
ENSCAFG00000007490	RALY
ENSCAFG00000014120	ALG9
ENSCAFG00000009664	MATN4
ENSCAFG00000018824	FLOT2
ENSCAFG00000011922	KPNA1
ENSCAFG00000031740	C12orf66
ENSCAFG00000001237	PTP4A3
ENSCAFG00000004818	SLC5A6
ENSCAFG00000009516	LY86
ENSCAFG00000019631	F8
ENSCAFG00000019618	NARFL
ENSCAFG00000000525	GLIPR1
ENSCAFG00000031005	TSLP
ENSCAFG00000009340	SPTY2D1
ENSCAFG00000007152	PTPRG
ENSCAFG00000004098	DNAJC27
ENSCAFG00000016790	BNIP1
ENSCAFG00000012586	RERGL
ENSCAFG00000006831	SLC15A4
ENSCAFG00000006988	MRPL15
ENSCAFG00000019981	TOR1B
ENSCAFG00000010423	COL4A4
ENSCAFG00000012701	OSBPL11
ENSCAFG00000005213	IL15RA
ENSCAFG00000017531	TNRC6A
ENSCAFG00000009884	MMRN1
ENSCAFG00000006532	DCHS1
ENSCAFG00000030536	C9orf50
ENSCAFG00000011233	PRKAR1B
ENSCAFG00000030838	PTGES
ENSCAFG00000018782	PRLR
ENSCAFG00000003939	HBP1
ENSCAFG00000017618	DRP2
ENSCAFG00000016547	UIMC1
ENSCAFG00000014117	MMP11
ENSCAFG00000002280	THSD7A
ENSCAFG00000019409	LSM7
ENSCAFG00000007396	SLC25A46
ENSCAFG00000007596	SLC25A4
ENSCAFG00000002467	SNX13
ENSCAFG00000016295	GIPC1
ENSCAFG00000018796	C19orf70
ENSCAFG00000019983	PRRX2
ENSCAFG00000011021	B3GNT7
ENSCAFG00000011879	MOSPD2
ENSCAFG00000017797	TCEAL1
ENSCAFG00000019958	NTNG1
ENSCAFG00000028762	KLRG1
ENSCAFG00000009527	RREB1
ENSCAFG00000015339	FTSJ1
ENSCAFG00000019984	ASB6
ENSCAFG00000014067	PALD1
ENSCAFG00000006440	LTA4H
ENSCAFG00000031187	FGF12
ENSCAFG00000002558	CCDC106
ENSCAFG00000009463	FTO
ENSCAFG00000019972	RNPC3
ENSCAFG00000003137	UGP2
ENSCAFG00000002490	PTP4A1
ENSCAFG00000014458	MEPCE
ENSCAFG00000005613	SLC4A7
ENSCAFG00000006557	IRF7
ENSCAFG00000000529	RGS22
ENSCAFG00000012762	COCH
ENSCAFG00000019735	PIK3CD
ENSCAFG00000000164	SMAD4
ENSCAFG00000009285	CCAR2
ENSCAFG00000031832	CCDC115
ENSCAFG00000031522	MAP2K7
ENSCAFG00000005297	ALK
ENSCAFG00000000305	ADAT2
ENSCAFG00000005412	FBL
ENSCAFG00000017588	TMEM251
ENSCAFG00000010880	TRIP11
ENSCAFG00000032108	C14orf142
ENSCAFG00000017871	FAT2
ENSCAFG00000030004	COA7
ENSCAFG00000002063	SIT1
ENSCAFG00000008514	CSNK2A2
ENSCAFG00000032399	CCDC117
ENSCAFG00000025327	SOX17
ENSCAFG00000002825	DFNA5
ENSCAFG00000013285	OVOL1
ENSCAFG00000018082	RBM22
ENSCAFG00000029180	TRDV2
ENSCAFG00000014103	SESTD1
ENSCAFG00000000351	C12orf56
ENSCAFG00000011997	DIEXF
ENSCAFG00000015598	DHRS7
ENSCAFG00000001570	PSAT1
ENSCAFG00000013684	PIKFYVE
ENSCAFG00000004366	MAGI2
ENSCAFG00000023556	OAS1
ENSCAFG00000017591	UBR7
ENSCAFG00000001540	KIAA1875
ENSCAFG00000005704	TMEM173
ENSCAFG00000014695	C1orf105
ENSCAFG00000000219	TRIM36
ENSCAFG00000018842	PHF12
ENSCAFG00000017801	MOCOS
ENSCAFG00000014833	DGCR2
ENSCAFG00000016966	TPM1
ENSCAFG00000016104	GABARAP
ENSCAFG00000005626	CHD8
ENSCAFG00000002602	C6orf57
ENSCAFG00000007016	PFDN5
ENSCAFG00000003996	FGF2
ENSCAFG00000017892	DNMT1
ENSCAFG00000029522	EPHX3
ENSCAFG00000012729	CGN
ENSCAFG00000019411	OAZ1
ENSCAFG00000013208	HDGFRP3
ENSCAFG00000007219	ASXL1
ENSCAFG00000003025	RASSF6
ENSCAFG00000029920	TSC22D3
ENSCAFG00000003798	CEP57L1
ENSCAFG00000014075	MB21D2
ENSCAFG00000010588	MARCKSL1
ENSCAFG00000002561	ZNF579
ENSCAFG00000011532	EGF
ENSCAFG00000019986	NTMT1
ENSCAFG00000002323	MGAT4A
ENSCAFG00000006569	DEAF1
ENSCAFG00000005898	CKAP2
ENSCAFG00000013194	MAGEF1
ENSCAFG00000007492	PALLD
ENSCAFG00000016623	VSIG4
ENSCAFG00000011037	NCL
ENSCAFG00000010597	HDAC1
ENSCAFG00000019997	CMIP
ENSCAFG00000004811	DMAP1
ENSCAFG00000000774	RNF5
ENSCAFG00000006540	TF
ENSCAFG00000019991	PPP2R4
ENSCAFG00000001771	WASL
ENSCAFG00000001543	TNPO3
ENSCAFG00000012630	CNKSR1
ENSCAFG00000017070	TRMT1
ENSCAFG00000019125	MTM1
ENSCAFG00000019408	ARHGAP4
ENSCAFG00000008849	CPNE3
ENSCAFG00000031676	SNAPC2
ENSCAFG00000009266	TBC1D23
ENSCAFG00000009867	BBX
ENSCAFG00000010919	HEATR1
ENSCAFG00000008540	MYL9
ENSCAFG00000007576	FAIM
ENSCAFG00000005701	MEMO1
ENSCAFG00000019996	CRAT
ENSCAFG00000001966	SH3RF3
ENSCAFG00000007384	CYP4V2
ENSCAFG00000005252	TMC6
ENSCAFG00000005932	VPS36
ENSCAFG00000008370	RNF13
ENSCAFG00000019985	COL11A1
ENSCAFG00000018577	BIRC8
ENSCAFG00000011065	SGOL2
ENSCAFG00000008415	KBTBD4
ENSCAFG00000018049	ZNF839
ENSCAFG00000010707	CCDC150
ENSCAFG00000029211	RBAK-RBAKDN
ENSCAFG00000012424	SYNPO2
ENSCAFG00000010821	TMTC1
ENSCAFG00000005524	USP36
ENSCAFG00000017098	RBPMS2
ENSCAFG00000019414	SF3A2
ENSCAFG00000018101	CD74
ENSCAFG00000010042	PARP3
ENSCAFG00000002978	LPAR1
ENSCAFG00000019606	HAGHL
ENSCAFG00000018803	SAFB
ENSCAFG00000013806	M6PR
ENSCAFG00000000420	CPM
ENSCAFG00000018538	SERBP1
ENSCAFG00000020001	DOLPP1
ENSCAFG00000019223	SLC35E2B
ENSCAFG00000006563	EOGT
ENSCAFG00000005940	THSD1
ENSCAFG00000005847	ADAM9
ENSCAFG00000002147	IL1R1
ENSCAFG00000005066	WDR48
ENSCAFG00000003952	PRKAR2B
ENSCAFG00000020003	FAM73B
ENSCAFG00000005334	GPR180
ENSCAFG00000028588	MS4A13
ENSCAFG00000009811	IGSF3
ENSCAFG00000015105	BIRC3
ENSCAFG00000016304	DDX41
ENSCAFG00000011542	HAPLN3
ENSCAFG00000015039	UVSSA
ENSCAFG00000018359	IL13RA1
ENSCAFG00000016394	PLEK2
ENSCAFG00000030492	ZNF7
ENSCAFG00000031559	PLEKHJ1
ENSCAFG00000001981	HSP90AB1
ENSCAFG00000019420	DOT1L
ENSCAFG00000032580	C1orf95
ENSCAFG00000006966	ST5
ENSCAFG00000016107	NOTCH3
ENSCAFG00000004904	CAND2
ENSCAFG00000029690	ZNF517
ENSCAFG00000013170	VPS8
ENSCAFG00000016980	FAM189B
ENSCAFG00000019425	AP3D1
ENSCAFG00000013087	PATZ1
ENSCAFG00000016089	PARP1
ENSCAFG00000000928	GOPC
ENSCAFG00000016316	PKN1
ENSCAFG00000005428	DYRK1B
ENSCAFG00000010030	TMCC2
ENSCAFG00000013717	TPR
ENSCAFG00000011188	GALNT3
ENSCAFG00000008517	CFAP20
ENSCAFG00000032740	GTF2H5
ENSCAFG00000029756	PPP1R1A
ENSCAFG00000025598	HUS1
ENSCAFG00000002573	SSC5D
ENSCAFG00000000652	TULP4
ENSCAFG00000032426	PTPMT1
ENSCAFG00000014126	SEC16B
ENSCAFG00000016962	AREL1
ENSCAFG00000018346	TIMM44
ENSCAFG00000017840	ELP2
ENSCAFG00000009670	RBPJL
ENSCAFG00000001611	IRF5
ENSCAFG00000017992	MID2
ENSCAFG00000006116	ARHGEF7
ENSCAFG00000005878	ANAPC11
ENSCAFG00000006582	TMEM80
ENSCAFG00000012430	BCL9L
ENSCAFG00000001075	ACO2
ENSCAFG00000001618	CCND3
ENSCAFG00000020008	SH3GLB2
ENSCAFG00000013059	SLC2A4RG
ENSCAFG00000010952	IARS2
ENSCAFG00000009216	TBX3
ENSCAFG00000003004	PPT1
ENSCAFG00000005955	SLC25A15
ENSCAFG00000010549	GLRX2
ENSCAFG00000025183	EPS8L2
ENSCAFG00000015626	NWD1
ENSCAFG00000005134	LMBR1
ENSCAFG00000023756	GNAS
ENSCAFG00000018394	ARL15
ENSCAFG00000006589	MRPL17
ENSCAFG00000015400	PARP11
ENSCAFG00000000557	CSNK1G3
ENSCAFG00000014559	NIN
ENSCAFG00000018140	TADA2A
ENSCAFG00000002804	PHIP
ENSCAFG00000015287	PSMA3
ENSCAFG00000011592	TTC21B
ENSCAFG00000004473	ESD
ENSCAFG00000017983	PPCDC
ENSCAFG00000032274	CINP
ENSCAFG00000005877	ALYREF
ENSCAFG00000018883	PIPOX
ENSCAFG00000029004	GSTK1
ENSCAFG00000007822	BDP1
ENSCAFG00000003029	CXCL8
ENSCAFG00000006334	GRTP1
ENSCAFG00000014805	DNM3
ENSCAFG00000008673	DHX36
ENSCAFG00000002714	EPHA5
ENSCAFG00000010162	MUC15
ENSCAFG00000000352	XPOT
ENSCAFG00000025152	ZC3HAV1L
ENSCAFG00000010725	GIT2
ENSCAFG00000014457	NDP
ENSCAFG00000017201	ABCC3
ENSCAFG00000001211	HMGA1
ENSCAFG00000011067	DHRSX
ENSCAFG00000004453	ABHD5
ENSCAFG00000019740	CLSTN1
ENSCAFG00000010298	ADORA1
ENSCAFG00000014158	ATP13A4
ENSCAFG00000019999	GAN
ENSCAFG00000001577	CEP78
ENSCAFG00000002758	SLC44A1
ENSCAFG00000005445	TIMM50
ENSCAFG00000017600	BTBD7
ENSCAFG00000010038	NUAK2
ENSCAFG00000002054	GPR116
ENSCAFG00000011788	ZFP64
ENSCAFG00000008544	MMP15
ENSCAFG00000014047	PPP2R5B
ENSCAFG00000015182	GLB1L
ENSCAFG00000014851	CLDN11
ENSCAFG00000029079	ZNF614
ENSCAFG00000014469	EFHC2
ENSCAFG00000001439	C22orf23
ENSCAFG00000012317	TMEM237
ENSCAFG00000001406	MKLN1
ENSCAFG00000018868	MYO18A
ENSCAFG00000001503	MFNG
ENSCAFG00000005961	MRPS31
ENSCAFG00000010571	DAPP1
ENSCAFG00000028568	IGJ
ENSCAFG00000015435	PORCN
ENSCAFG00000009486	RPGRIP1L
ENSCAFG00000005301	PSD3
ENSCAFG00000013614	DTX2
ENSCAFG00000003560	CDK5RAP2
ENSCAFG00000006995	RP1
ENSCAFG00000016360	NVL
ENSCAFG00000013843	UPB1
ENSCAFG00000020013	NUP188
ENSCAFG00000019268	SLX4
ENSCAFG00000005180	SLC4A1AP
ENSCAFG00000029781	ABHD16B
ENSCAFG00000017854	SLC39A6
ENSCAFG00000019621	CCDC78
ENSCAFG00000006097	ASTE1
ENSCAFG00000002203	CREB3
ENSCAFG00000031916	OTOS
ENSCAFG00000008412	C3orf38
ENSCAFG00000005469	SUPT5H
ENSCAFG00000012084	ADCY5
ENSCAFG00000009512	PIDD1
ENSCAFG00000007400	TMEM232
ENSCAFG00000013032	STK25
ENSCAFG00000010177	KDM1B
ENSCAFG00000013256	MRC2
ENSCAFG00000002035	KIAA0020
ENSCAFG00000004115	KIAA1549
ENSCAFG00000006849	TMEM132C
ENSCAFG00000011046	BCL9
ENSCAFG00000018133	SYNRG
ENSCAFG00000010487	PDE9A
ENSCAFG00000016798	CREBRF
ENSCAFG00000006378	FAM160A2
ENSCAFG00000015914	PELP1
ENSCAFG00000018944	VGLL1
ENSCAFG00000015990	RNF216
ENSCAFG00000031816	TOMM7
ENSCAFG00000017137	TENM2
ENSCAFG00000030899	ZFP62
ENSCAFG00000007456	GLT8D2
ENSCAFG00000018776	NTAN1
ENSCAFG00000004671	FAM216B
ENSCAFG00000023822	FCRL5
ENSCAFG00000012742	MTFP1
